Time,Value
2024-01-31,-0.14810207188842273
2024-02-29,1.9533253432059732
2024-03-31,5.523411454244167
2024-04-30,6.174144649809251
2024-05-31,3.7946913199137358
2024-06-30,4.460222268481791
2024-07-31,-0.7044669084429878
2024-08-31,-0.401299955612139
2024-09-30,-1.4414351507664815
2024-10-31,-2.2892096039473024
2024-11-30,-2.0603982561974674
2024-12-31,-0.4064491414658755
2025-01-31,4.06342168573433
2025-02-28,6.030401779717309
2025-03-31,7.042463403031105
2025-04-30,9.28182780800299
2025-05-31,9.622481626340974
2025-06-30,5.434325299584251
2025-07-31,3.4324156322578956
2025-08-31,1.338332652061475
2025-09-30,0.801208698594081
2025-10-31,-1.2604472743613184
2025-11-30,1.814508220971419
2025-12-31,4.373316665127182
2026-01-31,7.877945303152426
2026-02-28,9.308573300638775
2026-03-31,10.840964735347603
2026-04-30,11.947165344285843
2026-05-31,12.34245678551696
2026-06-30,10.54661456089663
2026-07-31,7.600888194918577
2026-08-31,4.3931438246032295
2026-09-30,2.9242388747072368
2026-10-31,2.472612657146244
2026-11-30,3.287381106040483
2026-12-31,7.427449720268183
2027-01-31,8.614586287256317
2027-02-28,11.486279539006503
2027-03-31,14.77283468866777
2027-04-30,14.006430704119614
2027-05-31,12.979014760596609
2027-06-30,11.64348527791634
2027-07-31,10.008380626761877
2027-08-31,7.741601827795092
2027-09-30,7.008884469809416
2027-10-31,6.346110236408097
2027-11-30,7.810587993568329
2027-12-31,9.58034618955048
2028-01-31,12.405842358296349
2028-02-29,14.493970515588735
2028-03-31,18.48253137020875
2028-04-30,17.759946132857625
2028-05-31,16.16356745680133
2028-06-30,16.628266118309845
2028-07-31,12.62014485498284
2028-08-31,11.263483326927261
2028-09-30,8.114159581527222
2028-10-31,8.268389107647739
2028-11-30,12.598737981463584
2028-12-31,12.08740544349376
2029-01-31,15.480087959541567
2029-02-28,18.170361572998697
2029-03-31,19.730480070897105
2029-04-30,21.187267363681276
2029-05-31,20.93878901571333
2029-06-30,17.520273079419265
2029-07-31,15.0611725164361
2029-08-31,13.546508083952004
2029-09-30,11.382413019760676
2029-10-31,10.87445130855609
2029-11-30,15.005482290849772
2029-12-31,14.263198545074024
2030-01-31,17.811882043022912
2030-02-28,21.339253695299558
2030-03-31,23.828229679046416
2030-04-30,23.86118263784767
2030-05-31,22.526201090774844
2030-06-30,20.83000133230578
2030-07-31,17.23440438662651
2030-08-31,16.941274026458554
2030-09-30,14.82414448944574
2030-10-31,15.110072688022287
2030-11-30,18.104052491014727
2030-12-31,18.90099369812436
2031-01-31,20.45856198697022
2031-02-28,24.748914769583244
2031-03-31,27.069845982053934
2031-04-30,27.347202660250765
2031-05-31,25.374354085504944
2031-06-30,24.20110182027356
2031-07-31,21.570803303640837
2031-08-31,17.916041138763312
2031-09-30,19.91938222123705
2031-10-31,20.775291746970204
2031-11-30,20.745446434143357
2031-12-31,22.58766841651062
2032-01-31,25.908688214937538
2032-02-29,29.207593164499112
2032-03-31,29.17182784162026
2032-04-30,27.67872588703978
2032-05-31,28.82716461108835
2032-06-30,26.259290376045136
2032-07-31,24.105697166016466
2032-08-31,22.521957881839736
2032-09-30,21.590379989768845
2032-10-31,21.562257008216864
2032-11-30,22.292415166660547
2032-12-31,28.241714836936527
2033-01-31,28.11190498630198
2033-02-28,32.257869520611564
2033-03-31,32.85808224946002
2033-04-30,30.946983885985887
2033-05-31,32.23432883863014
2033-06-30,30.065011361375795
2033-07-31,26.346930072022797
2033-08-31,25.656272383877578
2033-09-30,24.108340657358692
2033-10-31,24.794335814182062
2033-11-30,27.11195281535819
2033-12-31,28.68676717722324
2034-01-31,31.2166515897758
2034-02-28,34.450820262217825
2034-03-31,33.93078899885055
2034-04-30,37.2897762914054
2034-05-31,35.01540395109443
2034-06-30,33.466582982701965
2034-07-31,30.311319754617884
2034-08-31,28.026051067400935
2034-09-30,27.07276171509786
2034-10-31,28.298838050611497
2034-11-30,29.273430469987616
2034-12-31,30.0021797084585
2035-01-31,35.30678559032558
2035-02-28,37.88593468206766
2035-03-31,38.106185279378764
2035-04-30,38.25458517626528
2035-05-31,36.94236754322218
2035-06-30,36.21058627674252
2035-07-31,31.5976244169501
2035-08-31,28.911506179447404
2035-09-30,30.079505741740455
2035-10-31,30.376412733729374
2035-11-30,33.02180956835432
2035-12-31,36.06554600966536
2036-01-31,37.43901509230105
2036-02-29,39.25628621761007
2036-03-31,40.427117938031664
2036-04-30,42.69779804257833
2036-05-31,40.272199689784756
2036-06-30,37.869565534225345
2036-07-31,36.14885299331506
2036-08-31,35.34983793064833
